Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,7,70245,0,0,3920
c,100000,100000_rows.csv,7,86548,0,0,1376
c,100000,100000_rows.csv,7,115756,0,0,1408
c,100000,100000_rows.csv,7,133445,0,0,1608
c,100000,100000_rows.csv,7,157000,0,0,1384
c,100000,100000_rows.csv,7,187631,0,0,1960
c,100000,100000_rows.csv,7,224274,0,0,1384
c,100000,100000_rows.csv,7,249397,0,0,1704
c,100000,100000_rows.csv,7,280711,0,0,1384
c,100000,100000_rows.csv,7,318564,0,0,1864
c,100000,100000_rows.csv,7,359136,0,0,1864
c,100000,100000_rows.csv,7,392688,0,0,1864
c,100000,100000_rows.csv,7,413566,0,0,1608
c,100000,100000_rows.csv,7,445814,0,0,1864
c,100000,100000_rows.csv,7,472712,0,0,1720
c,100000,100000_rows.csv,7,491785,2356,68,1624
c,100000,100000_rows.csv,7,516490,3992,320,1656
c,100000,100000_rows.csv,7,555807,12864,512,1232
c,100000,100000_rows.csv,7,589845,24112,2160,1424
c,100000,100000_rows.csv,7,627678,31372,4380,1408
c,100000,100000_rows.csv,7,643865,34508,5284,1424
c,100000,100000_rows.csv,7,669124,37805,6691,1288
c,100000,100000_rows.csv,7,693799,40232,8096,1424
c,100000,100000_rows.csv,7,712862,58308,8772,1296
c,100000,100000_rows.csv,7,744010,60686,9018,1000
c,100000,100000_rows.csv,7,784928,65888,10144,992
c,100000,100000_rows.csv,7,812602,64614,10242,1304
c,100000,100000_rows.csv,7,853112,64614,10242,1064
c,100000,100000_rows.csv,7,874536,64614,10242,1064
c,100000,100000_rows.csv,7,906394,64614,10242,848
c,100000,100000_rows.csv,7,927811,64614,10242,840
c,100000,100000_rows.csv,7,949235,64614,10242,840
c,100000,100000_rows.csv,7,986468,64626,10254,1000
c,100000,100000_rows.csv,7,1026998,67848,10312,768
c,100000,100000_rows.csv,7,1065658,73300,10884,7024
c,100000,100000_rows.csv,7,1096695,74857,11127,7920
c,100000,100000_rows.csv,7,1121263,73468,10996,1920
c,100000,100000_rows.csv,7,1145060,73407,11169,1576
c,100000,100000_rows.csv,7,1171437,73806,11394,1792
c,100000,100000_rows.csv,7,1209822,69995,10181,1632
c,100000,100000_rows.csv,7,1239953,69995,10181,1552
c,100000,100000_rows.csv,7,1269016,90572,11660,104888
c,100000,100000_rows.csv,7,1293469,92427,11693,104864
c,100000,100000_rows.csv,7,1322334,100680,11816,1944
c,100000,100000_rows.csv,7,1341785,104799,11841,2032
c,100000,100000_rows.csv,7,1368237,154145,11935,2032
c,100000,100000_rows.csv,7,1383129,182929,11991,2032
c,100000,100000_rows.csv,7,1385796,182646,11794,4584
c,100000,100000_rows.csv,7,1388439,182646,11794,904
c,100000,100000_rows.csv,7,1391070,178148,11396,672
c,100000,100000_rows.csv,8,0,0,0,0
c,100000,100000_rows.csv,8,2621,0,0,448
c,100000,100000_rows.csv,8,41470,0,0,448
c,100000,100000_rows.csv,8,70245,0,0,3920
c,100000,100000_rows.csv,8,86548,0,0,1376
c,100000,100000_rows.csv,8,115756,0,0,1408
c,100000,100000_rows.csv,8,133445,0,0,1608
c,100000,100000_rows.csv,8,157000,0,0,1384
c,100000,100000_rows.csv,8,187631,0,0,1960
c,100000,100000_rows.csv,8,224274,0,0,1384
c,100000,100000_rows.csv,8,249397,0,0,1704
c,100000,100000_rows.csv,8,280711,0,0,1384
c,100000,100000_rows.csv,8,318564,0,0,1864
c,100000,100000_rows.csv,8,359136,0,0,1864
c,100000,100000_rows.csv,8,392688,0,0,1864
c,100000,100000_rows.csv,8,413566,0,0,1608
c,100000,100000_rows.csv,8,445814,0,0,1864
c,100000,100000_rows.csv,8,472712,0,0,1720
c,100000,100000_rows.csv,8,491785,2356,68,1624
c,100000,100000_rows.csv,8,516490,3992,320,1656
c,100000,100000_rows.csv,8,555807,12864,512,1232
c,100000,100000_rows.csv,8,589845,24112,2160,1424
c,100000,100000_rows.csv,8,627678,31372,4380,1408
c,100000,100000_rows.csv,8,643865,34508,5284,1424
c,100000,100000_rows.csv,8,669124,37805,6691,1288
c,100000,100000_rows.csv,8,693799,40232,8096,1424
c,100000,100000_rows.csv,8,712862,58308,8772,1296
c,100000,100000_rows.csv,8,744010,60686,9018,1000
c,100000,100000_rows.csv,8,784928,65888,10144,992
c,100000,100000_rows.csv,8,812602,64614,10242,1304
c,100000,100000_rows.csv,8,853112,64614,10242,1064
c,100000,100000_rows.csv,8,874536,64614,10242,1064
c,100000,100000_rows.csv,8,906394,64614,10242,848
c,100000,100000_rows.csv,8,927811,64614,10242,840
c,100000,100000_rows.csv,8,949235,64614,10242,840
c,100000,100000_rows.csv,8,986468,64626,10254,1000
c,100000,100000_rows.csv,8,1026998,67848,10312,768
c,100000,100000_rows.csv,8,1065658,73300,10884,7024
c,100000,100000_rows.csv,8,1096695,74857,11127,7920
c,100000,100000_rows.csv,8,1121263,73468,10996,1920
c,100000,100000_rows.csv,8,1145060,73407,11169,1576
c,100000,100000_rows.csv,8,1171437,73806,11394,1792
