Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,6,0,0,0,0
c,100000,100000_rows.csv,6,19217,0,0,336
c,100000,100000_rows.csv,6,47846,0,0,1104
c,100000,100000_rows.csv,6,69360,0,0,2000
c,100000,100000_rows.csv,6,82221,0,0,1936
c,100000,100000_rows.csv,6,106486,0,0,1680
c,100000,100000_rows.csv,6,120890,0,0,1680
c,100000,100000_rows.csv,6,150618,0,0,1936
c,100000,100000_rows.csv,6,169315,0,0,1680
c,100000,100000_rows.csv,6,197166,0,0,2000
c,100000,100000_rows.csv,6,215842,0,0,2000
c,100000,100000_rows.csv,6,228229,0,0,1680
c,100000,100000_rows.csv,6,249324,0,0,1680
c,100000,100000_rows.csv,6,272617,0,0,2000
c,100000,100000_rows.csv,6,293371,0,0,2000
c,100000,100000_rows.csv,6,313135,0,0,2000
c,100000,100000_rows.csv,6,340817,0,0,2000
c,100000,100000_rows.csv,6,363025,0,0,2000
c,100000,100000_rows.csv,6,378719,0,0,1680
c,100000,100000_rows.csv,6,394243,0,0,2000
c,100000,100000_rows.csv,6,419239,0,0,144
c,100000,100000_rows.csv,6,446899,3908,284,1328
c,100000,100000_rows.csv,6,466674,5712,408,1472
c,100000,100000_rows.csv,6,480082,21012,524,1488
c,100000,100000_rows.csv,6,500400,23538,1902,1424
c,100000,100000_rows.csv,6,513084,24993,2767,1456
c,100000,100000_rows.csv,6,542243,32418,4446,1472
c,100000,100000_rows.csv,6,565490,35006,5826,1344
c,100000,100000_rows.csv,6,584515,54882,6654,1120
c,100000,100000_rows.csv,6,613412,54882,6654,992
c,100000,100000_rows.csv,6,636974,57668,7412,1424
c,100000,100000_rows.csv,6,655345,57680,7424,1440
c,100000,100000_rows.csv,6,677157,57668,7412,1040
c,100000,100000_rows.csv,6,691901,57668,7412,1040
c,100000,100000_rows.csv,6,709296,57668,7412,1200
c,100000,100000_rows.csv,6,724106,57668,7412,992
c,100000,100000_rows.csv,6,739073,57668,7412,1328
c,100000,100000_rows.csv,6,768710,57668,7412,992
c,100000,100000_rows.csv,6,783563,57680,7424,960
c,100000,100000_rows.csv,6,798558,57680,7424,1296
c,100000,100000_rows.csv,6,828195,57680,7424,960
c,100000,100000_rows.csv,6,848124,63500,7604,5088
c,100000,100000_rows.csv,6,865098,65598,7770,14320
c,100000,100000_rows.csv,6,879985,65381,7939,5472
c,100000,100000_rows.csv,6,902264,67739,8197,12144
c,100000,100000_rows.csv,6,925683,68406,8314,12112
c,100000,100000_rows.csv,6,933334,68490,8374,8000
c,100000,100000_rows.csv,6,955555,66697,8271,3168
c,100000,100000_rows.csv,6,985229,66927,8545,1616
c,100000,100000_rows.csv,6,1009333,67035,8533,1536
c,100000,100000_rows.csv,6,1043482,64360,7864,1456
c,100000,100000_rows.csv,6,1051171,67984,8528,1520
c,100000,100000_rows.csv,6,1058822,67324,8724,1664
c,100000,100000_rows.csv,6,1066476,67050,8510,1072
c,100000,100000_rows.csv,7,0,0,0,0
c,100000,100000_rows.csv,7,19217,0,0,336
c,100000,100000_rows.csv,7,47846,0,0,1104
c,100000,100000_rows.csv,7,69360,0,0,2000
c,100000,100000_rows.csv,7,82221,0,0,1936
c,100000,100000_rows.csv,7,106486,0,0,1680
c,100000,100000_rows.csv,7,120890,0,0,1680
