Language,Total Records,File Name,Run Number,Point,Cycles
c,10,10_rows.csv,7,Start Quick Sort Person Rows,7436773729121
c,10,10_rows.csv,7,Start Print Person Rows,7436776535246
c,10,10_rows.csv,7,Start Free Used Memory,7436779313939
c,10,10_rows.csv,7,End Program,7436782068647
c,10,10_rows.csv,8,Start Read People CSV File,7441139660432
c,10,10_rows.csv,8,Start Validate Person Rows,7441142651070
c,10,10_rows.csv,8,Start Quick Sort Person Rows,7441145403650
c,10,10_rows.csv,8,Start Print Person Rows,7441148165483
c,10,10_rows.csv,8,Start Free Used Memory,7441150893374
c,10,10_rows.csv,8,End Program,7441153707560
c,10,10_rows.csv,9,Start Read People CSV File,7445528865339
c,10,10_rows.csv,9,Start Validate Person Rows,7445531962944
c,10,10_rows.csv,9,Start Quick Sort Person Rows,7445534815959
c,10,10_rows.csv,9,Start Print Person Rows,7445537535937
c,10,10_rows.csv,9,Start Free Used Memory,7445540410483
c,10,10_rows.csv,9,End Program,7445543168917
c,10,10_rows.csv,10,Start Read People CSV File,7449960546737
c,10,10_rows.csv,10,Start Validate Person Rows,7449963451661
c,10,10_rows.csv,10,Start Quick Sort Person Rows,7449966290331
c,10,10_rows.csv,10,Start Print Person Rows,7449969079647
c,10,10_rows.csv,10,Start Free Used Memory,7449971791535
c,10,10_rows.csv,10,End Program,7449974610903
c,25000,25000_rows.csv,1,Start Read People CSV File,7454621182429
c,25000,25000_rows.csv,1,Start Validate Person Rows,7454667102963
c,25000,25000_rows.csv,1,Start Quick Sort Person Rows,7454711067654
c,25000,25000_rows.csv,1,Start Print Person Rows,7454791351278
c,25000,25000_rows.csv,1,Start Free Used Memory,7454847030825
c,25000,25000_rows.csv,1,End Program,7454895742461
c,25000,25000_rows.csv,2,Start Read People CSV File,7459540600387
c,25000,25000_rows.csv,2,Start Validate Person Rows,7459586753938
c,25000,25000_rows.csv,2,Start Quick Sort Person Rows,7459630762769
c,25000,25000_rows.csv,2,Start Print Person Rows,7459711230748
c,25000,25000_rows.csv,2,Start Free Used Memory,7459767174951
c,25000,25000_rows.csv,2,End Program,7459816217861
c,25000,25000_rows.csv,3,Start Read People CSV File,7464430028184
c,25000,25000_rows.csv,3,Start Validate Person Rows,7464475646912
c,25000,25000_rows.csv,3,Start Quick Sort Person Rows,7464519535343
c,25000,25000_rows.csv,3,Start Print Person Rows,7464602982453
c,25000,25000_rows.csv,3,Start Free Used Memory,7464667342634
c,25000,25000_rows.csv,3,End Program,7464716887503
c,25000,25000_rows.csv,4,Start Read People CSV File,7469337826684
c,25000,25000_rows.csv,4,Start Validate Person Rows,7469383531444
