Language,Total Records,File Name,Run Number,Point,Cycles
c,10,10_rows.csv,3,Start QuickSort Person Array,729643962803
c,10,10_rows.csv,3,Start Print Results,729646480431
c,10,10_rows.csv,3,Start Free Memory,729649165815
c,10,10_rows.csv,3,End Program,729651750549
c,10,10_rows.csv,4,Start File Read,733982274328
c,10,10_rows.csv,4,Start Map to Person Record,733985186646
c,10,10_rows.csv,4,Start QuickSort Person Array,733987782383
c,10,10_rows.csv,4,Start Print Results,733990230154
c,10,10_rows.csv,4,Start Free Memory,733992790048
c,10,10_rows.csv,4,End Program,733995342946
c,10,10_rows.csv,5,Start File Read,738344292656
c,10,10_rows.csv,5,Start Map to Person Record,738346965344
c,10,10_rows.csv,5,Start QuickSort Person Array,738349478106
c,10,10_rows.csv,5,Start Print Results,738351949405
c,10,10_rows.csv,5,Start Free Memory,738354585612
c,10,10_rows.csv,5,End Program,738357171264
c,10,10_rows.csv,6,Start File Read,742677456717
c,10,10_rows.csv,6,Start Map to Person Record,742681722438
c,10,10_rows.csv,6,Start QuickSort Person Array,742684815672
c,10,10_rows.csv,6,Start Print Results,742687562320
c,10,10_rows.csv,6,Start Free Memory,742691258377
c,10,10_rows.csv,6,End Program,742694502661
c,10,10_rows.csv,7,Start File Read,747019026257
c,10,10_rows.csv,7,Start Map to Person Record,747021742890
c,10,10_rows.csv,7,Start QuickSort Person Array,747024297412
c,10,10_rows.csv,7,Start Print Results,747027164321
c,10,10_rows.csv,7,Start Free Memory,747029700326
c,10,10_rows.csv,7,End Program,747032262543
c,10,10_rows.csv,8,Start File Read,751353578328
c,10,10_rows.csv,8,Start Map to Person Record,751356412529
c,10,10_rows.csv,8,Start QuickSort Person Array,751358979968
c,10,10_rows.csv,8,Start Print Results,751361503294
c,10,10_rows.csv,8,Start Free Memory,751364016918
c,10,10_rows.csv,8,End Program,751366547538
c,10,10_rows.csv,9,Start File Read,755693653356
c,10,10_rows.csv,9,Start Map to Person Record,755696371299
c,10,10_rows.csv,9,Start QuickSort Person Array,755698928639
c,10,10_rows.csv,9,Start Print Results,755701667410
c,10,10_rows.csv,9,Start Free Memory,755704155096
c,10,10_rows.csv,9,End Program,755706734809
c,10,10_rows.csv,10,Start File Read,760040151534
c,10,10_rows.csv,10,Start Map to Person Record,760042870838
c,10,10_rows.csv,10,Start QuickSort Person Array,760045376517
c,10,10_rows.csv,10,Start Print Results,760048142901
c,10,10_rows.csv,10,Start Free Memory,760050636814
c,10,10_rows.csv,10,End Program,760053357075
c,50000,50000_rows.csv,1,Start File Read,764396824811
c,50000,50000_rows.csv,1,Start Map to Person Record,764482678346
c,50000,50000_rows.csv,1,Start QuickSort Person Array,764564481650
c,50000,50000_rows.csv,1,Start Print Results,764840314502
c,50000,50000_rows.csv,1,Start Free Memory,764947414263
c,50000,50000_rows.csv,1,End Program,765039279339
c,50000,50000_rows.csv,2,Start File Read,769997326222
c,50000,50000_rows.csv,2,Start Map to Person Record,770083615184
c,50000,50000_rows.csv,2,Start QuickSort Person Array,770164816701
c,50000,50000_rows.csv,2,Start Print Results,770440580000
c,50000,50000_rows.csv,2,Start Free Memory,770548444327
c,50000,50000_rows.csv,2,End Program,770642005156
c,50000,50000_rows.csv,3,Start File Read,775704167679
c,50000,50000_rows.csv,3,Start Map to Person Record,775792549320
c,50000,50000_rows.csv,3,Start QuickSort Person Array,775877317731
c,50000,50000_rows.csv,3,Start Print Results,776153600009
c,50000,50000_rows.csv,3,Start Free Memory,776263446755
c,50000,50000_rows.csv,3,End Program,776396627671
c,50000,50000_rows.csv,4,Start File Read,781382798519
c,50000,50000_rows.csv,4,Start Map to Person Record,781469754795
c,50000,50000_rows.csv,4,Start QuickSort Person Array,781557034843
c,50000,50000_rows.csv,4,Start Print Results,781834634551
c,50000,50000_rows.csv,4,Start Free Memory,781953454418
c,50000,50000_rows.csv,4,End Program,782045111488
c,50000,50000_rows.csv,5,Start File Read,786983497508
c,50000,50000_rows.csv,5,Start Map to Person Record,787070265748
c,50000,50000_rows.csv,5,Start QuickSort Person Array,787165505461
c,50000,50000_rows.csv,5,Start Print Results,787443944156
c,50000,50000_rows.csv,5,Start Free Memory,787550817770
c,50000,50000_rows.csv,5,End Program,787641700044
c,50000,50000_rows.csv,6,Start File Read,792614497820
c,50000,50000_rows.csv,6,Start Map to Person Record,792702708074
c,50000,50000_rows.csv,6,Start QuickSort Person Array,792789112201
c,50000,50000_rows.csv,6,Start Print Results,793065553157
c,50000,50000_rows.csv,6,Start Free Memory,793172776036
c,50000,50000_rows.csv,6,End Program,793263966263
c,50000,50000_rows.csv,7,Start File Read,798234194959
c,50000,50000_rows.csv,7,Start Map to Person Record,798320404246
c,50000,50000_rows.csv,7,Start QuickSort Person Array,798402282746
c,50000,50000_rows.csv,7,Start Print Results,798678374167
c,50000,50000_rows.csv,7,Start Free Memory,798785960820
c,50000,50000_rows.csv,7,End Program,798876647652
c,50000,50000_rows.csv,8,Start File Read,803846276698
c,50000,50000_rows.csv,8,Start Map to Person Record,803933239973
c,50000,50000_rows.csv,8,Start QuickSort Person Array,804013928472
c,50000,50000_rows.csv,8,Start Print Results,804290660049
c,50000,50000_rows.csv,8,Start Free Memory,804403120047
c,50000,50000_rows.csv,8,End Program,804513390586
c,50000,50000_rows.csv,9,Start File Read,809493661658
c,50000,50000_rows.csv,9,Start Map to Person Record,809578941566
c,50000,50000_rows.csv,9,Start QuickSort Person Array,809659605592
c,50000,50000_rows.csv,9,Start Print Results,809935146071
c,50000,50000_rows.csv,9,Start Free Memory,810041985646
c,50000,50000_rows.csv,9,End Program,810135413905
c,50000,50000_rows.csv,10,Start File Read,815105849874
c,50000,50000_rows.csv,10,Start Map to Person Record,815191928361
c,50000,50000_rows.csv,10,Start QuickSort Person Array,815272698059
c,50000,50000_rows.csv,10,Start Print Results,815549978579
c,50000,50000_rows.csv,10,Start Free Memory,815657731598
c,50000,50000_rows.csv,10,End Program,815750728702
c,5000,5000_rows.csv,1,Start File Read,820738207603
c,5000,5000_rows.csv,1,Start Map to Person Record,820749418732
c,5000,5000_rows.csv,1,Start QuickSort Person Array,820760165952
c,5000,5000_rows.csv,1,Start Print Results,820768175131
c,5000,5000_rows.csv,1,Start Free Memory,820779869601
c,5000,5000_rows.csv,1,End Program,820791299275
c,5000,5000_rows.csv,2,Start File Read,825156030986
c,5000,5000_rows.csv,2,Start Map to Person Record,825167208892
c,5000,5000_rows.csv,2,Start QuickSort Person Array,825177982541
c,5000,5000_rows.csv,2,Start Print Results,825186003081
c,5000,5000_rows.csv,2,Start Free Memory,825199269262
c,5000,5000_rows.csv,2,End Program,825209153953
c,5000,5000_rows.csv,3,Start File Read,829592002833
c,5000,5000_rows.csv,3,Start Map to Person Record,829603212524
c,5000,5000_rows.csv,3,Start QuickSort Person Array,829613916001
c,5000,5000_rows.csv,3,Start Print Results,829622092744
c,5000,5000_rows.csv,3,Start Free Memory,829635467132
c,5000,5000_rows.csv,3,End Program,829645301511
c,5000,5000_rows.csv,4,Start File Read,834005744652
c,5000,5000_rows.csv,4,Start Map to Person Record,834018115429
c,5000,5000_rows.csv,4,Start QuickSort Person Array,834030144358
c,5000,5000_rows.csv,4,Start Print Results,834038662901
c,5000,5000_rows.csv,4,Start Free Memory,834051654265
c,5000,5000_rows.csv,4,End Program,834062437316
c,5000,5000_rows.csv,5,Start File Read,838406530933
c,5000,5000_rows.csv,5,Start Map to Person Record,838417771259
c,5000,5000_rows.csv,5,Start QuickSort Person Array,838428324474
